person_id,xing,ming,synjob,pinji_category,start_year,start_yyyymm,end_year,end_yyyymm,synjob_eng
183040026900,彭,藴章,事務,no-rank,1857.0,18570301-00:00:00,1859.75,18591201-00:00:00,Administrator
183040026900,彭,藴章,侍郎,1-3,1850.5,18500901-00:00:00,1854.0,18540301-00:00:00,Vice Minister
183040026900,彭,藴章,副總裁,1-3,1854.75,18541201-00:00:00,1855.75,18551201-00:00:00,Vice Chairman
183040026900,彭,藴章,大學士,1-3,1856.0,18560301-00:00:00,1860.75,18601201-00:00:00,Grand Secretary
183040026900,彭,藴章,寳錄館副總裁,1-3,1855.0,18550301-00:00:00,1855.5,18550901-00:00:00,寳錄館副總裁
183040026900,彭,藴章,尚書,1-3,1854.75,18541201-00:00:00,1856.25,18560601-00:00:00,Minister
183040026900,彭,藴章,恊辦實錄館副總裁,1-3,1856.25,18560601-00:00:00,1856.25,18560601-00:00:00,恊辦實錄館副總裁
183040026900,彭,藴章,恊辦寳録館副總裁,1-3,1856.0,18560301-00:00:00,1856.25,18560601-00:00:00,恊辦寳録館副總裁
183040026900,彭,藴章,武英殿,1-3,1860.0,18600301-00:00:00,1860.75,18601201-00:00:00,武英殿
183040026900,彭,藴章,武英殿文淵閣領閣事？？？？？,1-3,1858.75,18581201-00:00:00,1859.5,18590901-00:00:00,武英殿文淵閣領閣事？？？？？
183040026900,彭,藴章,武英殿管理工部户部三庫事務實錄館總裁,1-3,1860.0,18600301-00:00:00,1860.75,18601201-00:00:00,武英殿管理工部户部三庫事務實錄館總裁
183040026900,彭,藴章,稽察,1-3,1860.0,18600301-00:00:00,1860.75,18601201-00:00:00,Inspector
183040026900,彭,藴章,經筵講官,1-3,1854.75,18541201-00:00:00,1860.75,18601201-00:00:00,Classics Colloquium Reader
183040026900,彭,藴章,？？？寳錄館副總裁,1-3,1856.0,18560301-00:00:00,1856.0,18560301-00:00:00,？？？寳錄館副總裁
183040054800,司徒,照,典史,no-rank,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,District Jailor
183040054800,司徒,照,政使,no-rank,1854.0,18540301-00:00:00,1857.75,18571201-00:00:00,(government officer)
183040054800,司徒,照,欽命,1-3,1850.5,18500901-00:00:00,1852.75,18521201-00:00:00,By Imperial Appointment
183040054800,司徒,照,總理直省山東等處塩法都轉塩運使司,1-3,1850.5,18500901-00:00:00,1852.75,18521201-00:00:00,總理直省山東等處塩法都轉塩運使司
183040054800,司徒,照,請旨,1-3,1850.5,18500901-00:00:00,1852.75,18521201-00:00:00,Petitioner
183040116700,許,祥光,事務,1-3,1854.0,18540301-00:00:00,1854.0,18540301-00:00:00,Administrator
183040116700,許,祥光,分守桂平梧鬱道,4-6,1851.75,18511201-00:00:00,1852.75,18521201-00:00:00,分守桂平梧鬱道
183040343200,何,裕承,內閣學士,1-3,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Academician of the Grand Secretariat
183040343200,何,裕承,稽察中書科事務,1-3,1850.5,18500901-00:00:00,1851.75,18511201-00:00:00,Inspector of the Central Drafting Office
183040344500,陶,恩培,京畿道,4-6,1850.5,18500901-00:00:00,1850.5,18500901-00:00:00,京畿道
183040344500,陶,恩培,侍郎,1-3,1854.75,18541201-00:00:00,1854.75,18541201-00:00:00,Vice Minister
183040344500,陶,恩培,政使,no-rank,1854.0,18540301-00:00:00,1854.0,18540301-00:00:00,(government officer)
183040344500,陶,恩培,監察御史,4-6,1850.5,18500901-00:00:00,1850.5,18500901-00:00:00,Censor
183040344500,陶,恩培,知府,4-6,1851.25,18510601-00:00:00,1852.75,18521201-00:00:00,County Prefect
183040493800,李,國華,巡檢,7-9,1854.75,18541201-00:00:00,1863.0,18630301-00:00:00,Police Chief
183040493800,李,國華,碧甲司,7-9,1854.75,18541201-00:00:00,1858.75,18581201-00:00:00,碧甲司
183040939000,張,楨,吏目,7-9,1850.5,18500901-00:00:00,1852.75,18521201-00:00:00,Police Chief
183040939000,張,楨,縣丞,7-9,1864.0,18640301-00:00:00,1864.0,18640301-00:00:00,縣丞
183041164600,王,立中,縣丞,7-9,1850.5,18500901-00:00:00,1854.0,18540301-00:00:00,縣丞
183140143100,楊,鋸奎,主事,4-6,1850.5,18500901-00:00:00,1850.5,18500901-00:00:00,Secretary
183140143100,楊,鋸奎,員外郎,4-6,1851.25,18510601-00:00:00,1851.75,18511201-00:00:00,Bureau Vice Director
183320048600,賈,臻,事務,1-3,1859.25,18590601-00:00:00,1859.75,18591201-00:00:00,Administrator
183320048600,賈,臻,分巡,4-6,1854.0,18540301-00:00:00,1854.0,18540301-00:00:00,分巡
183320048600,賈,臻,寕紹台,4-6,1854.0,18540301-00:00:00,1854.0,18540301-00:00:00,寕紹台
183320048600,賈,臻,政使,no-rank,1860.0,18600301-00:00:00,1861.25,18610601-00:00:00,(government officer)
